-----------------------------------------
| rollout/                |             |
|    fps                  | 1473         |
|    iterations           | 470          |
|    time_elapsed         | 326          |
|    total_timesteps      | 481280       |
| train/                  |              |
|    approx_kl            | 0.0003448599 |
|    clip_fraction        | 0.0194       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.115       |
|    explained_variance   | 0.498        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.45         |
|    n_updates            | 18760        |
|    policy_gradient_loss | -0.00146     |
|    value_loss           | 19.5         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.01          |
|    ep_rew_mean          | -7.62         |
| time/                   |               |
|    fps                  | 1473          |
|    iterations           | 480           |
|    time_elapsed         | 333           |
|    total_timesteps      | 491520        |
| train/                  |               |
|    approx_kl            | 0.00069425005 |
|    clip_fraction        | 0.0257        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.102        |
|    explained_variance   | 0.512         |
|    learning_rate        | 5e-05         |
|    loss                 | 4.73          |
|    n_updates            | 19160         |
|    policy_gradient_loss | -0.00222      |
|    value_loss           | 17.1          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.98         |
|    ep_rew_mean          | -7.67        |
| time/                   |              |
|    fps                  | 1473         |
|    iterations           | 490          |
|    time_elapsed         | 340          |
|    total_timesteps      | 501760       |
| train/                  |              |
|    approx_kl            | 0.0010659639 |
|    clip_fraction        | 0.0357       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.107       |
|    explained_variance   | 0.481        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.88         |
|    n_updates            | 19560        |
|    policy_gradient_loss | -0.00303     |
|    value_loss           | 20.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.17          |
|    ep_rew_mean          | -6.78         |
| time/                   |               |
|    fps                  | 1475          |
|    iterations           | 500           |
|    time_elapsed         | 346           |
|    total_timesteps      | 512000        |
| train/                  |               |
|    approx_kl            | 0.00072190684 |
|    clip_fraction        | 0.0236        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.114        |
|    explained_variance   | 0.415         |
|    learning_rate        | 5e-05         |
|    loss                 | 8.05          |
|    n_updates            | 19960         |
|    policy_gradient_loss | -0.00194      |
|    value_loss           | 25.8          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.81         |
|    ep_rew_mean          | -7.96        |
| time/                   |              |
|    fps                  | 1475         |
|    iterations           | 510          |
|    time_elapsed         | 353          |
|    total_timesteps      | 522240       |
| train/                  |              |
|    approx_kl            | 0.0004991068 |
|    clip_fraction        | 0.0142       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.111       |
|    explained_variance   | 0.426        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.84         |
|    n_updates            | 20360        |
|    policy_gradient_loss | -0.00157     |
|    value_loss           | 25.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.36          |
|    ep_rew_mean          | -6.54         |
| time/                   |               |
|    fps                  | 1475          |
|    iterations           | 520           |
|    time_elapsed         | 360           |
|    total_timesteps      | 532480        |
| train/                  |               |
|    approx_kl            | 0.00057072623 |
|    clip_fraction        | 0.0246        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.108        |
|    explained_variance   | 0.466         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.35          |
|    n_updates            | 20760         |
|    policy_gradient_loss | -0.00219      |
|    value_loss           | 20.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.71          |
|    ep_rew_mean          | -8.07         |
| time/                   |               |
|    fps                  | 1475          |
|    iterations           | 530           |
|    time_elapsed         | 367           |
|    total_timesteps      | 542720        |
| train/                  |               |
|    approx_kl            | 0.00069407444 |
|    clip_fraction        | 0.0247        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.114        |
|    explained_variance   | 0.454         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.92          |
|    n_updates            | 21160         |
|    policy_gradient_loss | -0.00123      |
|    value_loss           | 22.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.51         |
|    ep_rew_mean          | -5.99        |
| time/                   |              |
|    fps                  | 1476         |
|    iterations           | 540          |
|    time_elapsed         | 374          |
|    total_timesteps      | 552960       |
| train/                  |              |
|    approx_kl            | 0.0003952558 |
|    clip_fraction        | 0.0138       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.12        |
|    explained_variance   | 0.486        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.53         |
|    n_updates            | 21560        |
|    policy_gradient_loss | -0.00133     |
|    value_loss           | 17.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.42         |
|    ep_rew_mean          | -6.12        |
| time/                   |              |
|    fps                  | 1477         |
|    iterations           | 550          |
|    time_elapsed         | 381          |
|    total_timesteps      | 563200       |
| train/                  |              |
|    approx_kl            | 0.0014822525 |
|    clip_fraction        | 0.0496       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.111       |
|    explained_variance   | 0.501        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.53         |
|    n_updates            | 21960        |
|    policy_gradient_loss | -0.00305     |
|    value_loss           | 17.2         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.95          |
|    ep_rew_mean          | -7.98         |
| time/                   |               |
|    fps                  | 1478          |
|    iterations           | 560           |
|    time_elapsed         | 387           |
|    total_timesteps      | 573440        |
| train/                  |               |
|    approx_kl            | 0.00042140897 |
|    clip_fraction        | 0.019         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.107        |
|    explained_variance   | 0.458         |
|    learning_rate        | 5e-05         |
|    loss                 | 7.17          |
|    n_updates            | 22360         |
|    policy_gradient_loss | -0.00121      |
|    value_loss           | 24.1          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.13          |
|    ep_rew_mean          | -7.41         |
| time/                   |               |
|    fps                  | 1477          |
|    iterations           | 570           |
|    time_elapsed         | 395           |
|    total_timesteps      | 583680        |
| train/                  |               |
|    approx_kl            | 0.00045120437 |
|    clip_fraction        | 0.024         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.11         |
|    explained_variance   | 0.462         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.56          |
|    n_updates            | 22760         |
|    policy_gradient_loss | -0.00226      |
|    value_loss           | 21.3          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.68          |
|    ep_rew_mean          | -8.52         |
| time/                   |               |
|    fps                  | 1474          |
|    iterations           | 580           |
|    time_elapsed         | 402           |
|    total_timesteps      | 593920        |
| train/                  |               |
|    approx_kl            | 0.00035758846 |
|    clip_fraction        | 0.0191        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.097        |
|    explained_variance   | 0.405         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.28          |
|    n_updates            | 23160         |
|    policy_gradient_loss | -0.0015       |
|    value_loss           | 26.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.29          |
|    ep_rew_mean          | -6.8          |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 590           |
|    time_elapsed         | 410           |
|    total_timesteps      | 604160        |
| train/                  |               |
|    approx_kl            | 0.00060309365 |
|    clip_fraction        | 0.0246        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0993       |
|    explained_variance   | 0.489         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.18          |
|    n_updates            | 23560         |
|    policy_gradient_loss | -0.00222      |
|    value_loss           | 17.5          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.08          |
|    ep_rew_mean          | -7.25         |
| time/                   |               |
|    fps                  | 1472          |
|    iterations           | 600           |
|    time_elapsed         | 417           |
|    total_timesteps      | 614400        |
| train/                  |               |
|    approx_kl            | 0.00041333062 |
|    clip_fraction        | 0.0176        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0984       |
|    explained_variance   | 0.492         |
|    learning_rate        | 5e-05         |
|    loss                 | 4.52          |
|    n_updates            | 23960         |
|    policy_gradient_loss | -0.0017       |
|    value_loss           | 16.4          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.98         |
|    ep_rew_mean          | -7.4         |
| time/                   |              |
|    fps                  | 1472         |
|    iterations           | 610          |
|    time_elapsed         | 424          |
|    total_timesteps      | 624640       |
| train/                  |              |
|    approx_kl            | 0.0002608237 |
|    clip_fraction        | 0.0173       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0983      |
|    explained_variance   | 0.482        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.43         |
|    n_updates            | 24360        |
|    policy_gradient_loss | -0.00168     |
|    value_loss           | 19.5         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.3           |
|    ep_rew_mean          | -6.76         |
| time/                   |               |
|    fps                  | 1473          |
|    iterations           | 620           |
|    time_elapsed         | 430           |
|    total_timesteps      | 634880        |
| train/                  |               |
|    approx_kl            | 0.00042997615 |
|    clip_fraction        | 0.0172        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0948       |
|    explained_variance   | 0.441         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.52          |
|    n_updates            | 24760         |
|    policy_gradient_loss | -0.0017       |
|    value_loss           | 21.8          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.88         |
|    ep_rew_mean          | -7.5         |
| time/                   |              |
|    fps                  | 1473         |
|    iterations           | 630          |
|    time_elapsed         | 437          |
|    total_timesteps      | 645120       |
| train/                  |              |
|    approx_kl            | 0.0008923759 |
|    clip_fraction        | 0.0284       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0994      |
|    explained_variance   | 0.446        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.15         |
|    n_updates            | 25160        |
|    policy_gradient_loss | -0.00198     |
|    value_loss           | 20.6         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.06          |
|    ep_rew_mean          | -7.47         |
| time/                   |               |
|    fps                  | 1475          |
|    iterations           | 640           |
|    time_elapsed         | 444           |
|    total_timesteps      | 655360        |
| train/                  |               |
|    approx_kl            | 0.00069530855 |
|    clip_fraction        | 0.0257        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0905       |
|    explained_variance   | 0.476         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.15          |
|    n_updates            | 25560         |
|    policy_gradient_loss | -0.00294      |
|    value_loss           | 18.6          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.96          |
|    ep_rew_mean          | -7.52         |
| time/                   |               |
|    fps                  | 1475          |
|    iterations           | 650           |
|    time_elapsed         | 451           |
|    total_timesteps      | 665600        |
| train/                  |               |
|    approx_kl            | 0.00034827786 |
|    clip_fraction        | 0.0141        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0909       |
|    explained_variance   | 0.448         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.35          |
|    n_updates            | 25960         |
|    policy_gradient_loss | -0.00179      |
|    value_loss           | 21            |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.41         |
|    ep_rew_mean          | -6.81        |
| time/                   |              |
|    fps                  | 1474         |
|    iterations           | 660          |
|    time_elapsed         | 458          |
|    total_timesteps      | 675840       |
| train/                  |              |
|    approx_kl            | 0.0003737136 |
|    clip_fraction        | 0.0188       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.107       |
|    explained_variance   | 0.473        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.03         |
|    n_updates            | 26360        |
|    policy_gradient_loss | -0.00225     |
|    value_loss           | 23.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.16         |
|    ep_rew_mean          | -6.58        |
| time/                   |              |
|    fps                  | 1475         |
|    iterations           | 670          |
|    time_elapsed         | 464          |
|    total_timesteps      | 686080       |
| train/                  |              |
|    approx_kl            | 0.0006093112 |
|    clip_fraction        | 0.0205       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0908      |
|    explained_variance   | 0.536        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.47         |
|    n_updates            | 26760        |
|    policy_gradient_loss | -0.00154     |
|    value_loss           | 18.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.31        |
|    ep_rew_mean          | -5.94       |
| time/                   |             |
|    fps                  | 1475        |
|    iterations           | 680         |
|    time_elapsed         | 471         |
|    total_timesteps      | 696320      |
| train/                  |             |
|    approx_kl            | 0.000732126 |
|    clip_fraction        | 0.0233      |
|    clip_range           | 0.1         |
|    entropy_loss         | -0.096      |
|    explained_variance   | 0.409       |
|    learning_rate        | 5e-05       |
|    loss                 | 6.84        |
|    n_updates            | 27160       |
|    policy_gradient_loss | -0.00203    |
|    value_loss           | 20.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.41         |
|    ep_rew_mean          | -6.55        |
| time/                   |              |
|    fps                  | 1475         |
|    iterations           | 690          |
|    time_elapsed         | 478          |
|    total_timesteps      | 706560       |
| train/                  |              |
|    approx_kl            | 0.0006971311 |
|    clip_fraction        | 0.0228       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.102       |
|    explained_variance   | 0.482        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.16         |
|    n_updates            | 27560        |
|    policy_gradient_loss | -0.00207     |
|    value_loss           | 21.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.94         |
|    ep_rew_mean          | -7.85        |
| time/                   |              |
|    fps                  | 1476         |
|    iterations           | 700          |
|    time_elapsed         | 485          |
|    total_timesteps      | 716800       |
| train/                  |              |
|    approx_kl            | 0.0012090129 |
|    clip_fraction        | 0.0268       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0897      |
|    explained_variance   | 0.509        |
|    learning_rate        | 5e-05        |
|    loss                 | 5.44         |
|    n_updates            | 27960        |
|    policy_gradient_loss | -0.00245     |
|    value_loss           | 18.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.76          |
|    ep_rew_mean          | -5.38         |
| time/                   |               |
|    fps                  | 1476          |
|    iterations           | 710           |
|    time_elapsed         | 492           |
|    total_timesteps      | 727040        |
| train/                  |               |
|    approx_kl            | 0.00042009295 |
|    clip_fraction        | 0.0208        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0932       |
|    explained_variance   | 0.492         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.94          |
|    n_updates            | 28360         |
|    policy_gradient_loss | -0.00199      |
|    value_loss           | 18.8          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.76          |
|    ep_rew_mean          | -7.85         |
| time/                   |               |
|    fps                  | 1476          |
|    iterations           | 720           |
|    time_elapsed         | 499           |
|    total_timesteps      | 737280        |
| train/                  |               |
|    approx_kl            | 0.00072217826 |
|    clip_fraction        | 0.025         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0928       |
|    explained_variance   | 0.396         |
|    learning_rate        | 5e-05         |
|    loss                 | 7.47          |
|    n_updates            | 28760         |
|    policy_gradient_loss | -0.00195      |
|    value_loss           | 23.3          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.24         |
|    ep_rew_mean          | -6.55        |
| time/                   |              |
|    fps                  | 1477         |
|    iterations           | 730          |
|    time_elapsed         | 505          |
|    total_timesteps      | 747520       |
| train/                  |              |
|    approx_kl            | 0.0003206624 |
|    clip_fraction        | 0.0142       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.09        |
|    explained_variance   | 0.449        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.37         |
|    n_updates            | 29160        |
|    policy_gradient_loss | -0.00159     |
|    value_loss           | 20.6         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.11          |
|    ep_rew_mean          | -7.18         |
| time/                   |               |
|    fps                  | 1477          |
|    iterations           | 740           |
|    time_elapsed         | 512           |
|    total_timesteps      | 757760        |
| train/                  |               |
|    approx_kl            | 0.00030768476 |
|    clip_fraction        | 0.0151        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0878       |
|    explained_variance   | 0.421         |
|    learning_rate        | 5e-05         |
|    loss                 | 7.38          |
|    n_updates            | 29560         |
|    policy_gradient_loss | -0.00138      |
|    value_loss           | 25.5          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.05          |
|    ep_rew_mean          | -7.45         |
| time/                   |               |
|    fps                  | 1477          |
|    iterations           | 750           |
|    time_elapsed         | 519           |
|    total_timesteps      | 768000        |
| train/                  |               |
|    approx_kl            | 0.00039739022 |
|    clip_fraction        | 0.0253        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0945       |
|    explained_variance   | 0.461         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.4           |
|    n_updates            | 29960         |
|    policy_gradient_loss | -0.00172      |
|    value_loss           | 19.6          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.63          |
|    ep_rew_mean          | -5.96         |
| time/                   |               |
|    fps                  | 1478          |
|    iterations           | 760           |
|    time_elapsed         | 526           |
|    total_timesteps      | 778240        |
| train/                  |               |
|    approx_kl            | 0.00059152115 |
|    clip_fraction        | 0.0222        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0926       |
|    explained_variance   | 0.466         |
|    learning_rate        | 5e-05         |
|    loss                 | 4.89          |
|    n_updates            | 30360         |
|    policy_gradient_loss | -0.00169      |
|    value_loss           | 18.3          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.12          |
|    ep_rew_mean          | -7.43         |
| time/                   |               |
|    fps                  | 1478          |
|    iterations           | 770           |
|    time_elapsed         | 533           |
|    total_timesteps      | 788480        |
| train/                  |               |
|    approx_kl            | 0.00086293096 |
|    clip_fraction        | 0.0268        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.1          |
|    explained_variance   | 0.51          |
|    learning_rate        | 5e-05         |
|    loss                 | 6.47          |
|    n_updates            | 30760         |
|    policy_gradient_loss | -0.00214      |
|    value_loss           | 19.8          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.94         |
|    ep_rew_mean          | -7.27        |
| time/                   |              |
|    fps                  | 1478         |
|    iterations           | 780          |
|    time_elapsed         | 540          |
|    total_timesteps      | 798720       |
| train/                  |              |
|    approx_kl            | 0.0007162897 |
|    clip_fraction        | 0.0284       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.096       |
|    explained_variance   | 0.471        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.28         |
|    n_updates            | 31160        |
|    policy_gradient_loss | -0.00256     |
|    value_loss           | 19.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.86         |
|    ep_rew_mean          | -8.29        |
| time/                   |              |
|    fps                  | 1478         |
|    iterations           | 790          |
|    time_elapsed         | 547          |
|    total_timesteps      | 808960       |
| train/                  |              |
|    approx_kl            | 0.0007221619 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.082       |
|    explained_variance   | 0.406        |
|    learning_rate        | 5e-05        |
|    loss                 | 7.22         |
|    n_updates            | 31560        |
|    policy_gradient_loss | -0.00212     |
|    value_loss           | 22.1         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.24          |
|    ep_rew_mean          | -6.9          |
| time/                   |               |
|    fps                  | 1478          |
|    iterations           | 800           |
|    time_elapsed         | 553           |
|    total_timesteps      | 819200        |
| train/                  |               |
|    approx_kl            | 0.00030687614 |
|    clip_fraction        | 0.0131        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0942       |
|    explained_variance   | 0.487         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.53          |
|    n_updates            | 31960         |
|    policy_gradient_loss | -0.00151      |
|    value_loss           | 19.3          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.01          |
|    ep_rew_mean          | -7.89         |
| time/                   |               |
|    fps                  | 1479          |
|    iterations           | 810           |
|    time_elapsed         | 560           |
|    total_timesteps      | 829440        |
| train/                  |               |
|    approx_kl            | 0.00068629096 |
|    clip_fraction        | 0.0318        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0818       |
|    explained_variance   | 0.462         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.02          |
|    n_updates            | 32360         |
|    policy_gradient_loss | -0.00326      |
|    value_loss           | 18.7          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.17         |
|    ep_rew_mean          | -6.84        |
| time/                   |              |
|    fps                  | 1479         |
|    iterations           | 820          |
|    time_elapsed         | 567          |
|    total_timesteps      | 839680       |
| train/                  |              |
|    approx_kl            | 0.0006117676 |
|    clip_fraction        | 0.0305       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0937      |
|    explained_variance   | 0.421        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.57         |
|    n_updates            | 32760        |
|    policy_gradient_loss | -0.00193     |
|    value_loss           | 23.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.03          |
|    ep_rew_mean          | -7.47         |
| time/                   |               |
|    fps                  | 1479          |
|    iterations           | 830           |
|    time_elapsed         | 574           |
|    total_timesteps      | 849920        |
| train/                  |               |
|    approx_kl            | 0.00087258214 |
|    clip_fraction        | 0.0333        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0922       |
|    explained_variance   | 0.417         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.59          |
|    n_updates            | 33160         |
|    policy_gradient_loss | -0.00268      |
|    value_loss           | 22.9          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.02          |
|    ep_rew_mean          | -7.19         |
| time/                   |               |
|    fps                  | 1479          |
|    iterations           | 840           |
|    time_elapsed         | 581           |
|    total_timesteps      | 860160        |
| train/                  |               |
|    approx_kl            | 0.00049566175 |
|    clip_fraction        | 0.023         |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0858       |
|    explained_variance   | 0.573         |
|    learning_rate        | 5e-05         |
|    loss                 | 3.53          |
|    n_updates            | 33560         |
|    policy_gradient_loss | -0.00227      |
|    value_loss           | 13.4          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.26          |
|    ep_rew_mean          | -6.36         |
| time/                   |               |
|    fps                  | 1479          |
|    iterations           | 850           |
|    time_elapsed         | 588           |
|    total_timesteps      | 870400        |
| train/                  |               |
|    approx_kl            | 0.00048714358 |
|    clip_fraction        | 0.0287        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0853       |
|    explained_variance   | 0.397         |
|    learning_rate        | 5e-05         |
|    loss                 | 7.82          |
|    n_updates            | 33960         |
|    policy_gradient_loss | -0.00166      |
|    value_loss           | 24            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.95          |
|    ep_rew_mean          | -7.41         |
| time/                   |               |
|    fps                  | 1479          |
|    iterations           | 860           |
|    time_elapsed         | 595           |
|    total_timesteps      | 880640        |
| train/                  |               |
|    approx_kl            | 0.00069136056 |
|    clip_fraction        | 0.0267        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0819       |
|    explained_variance   | 0.496         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.15          |
|    n_updates            | 34360         |
|    policy_gradient_loss | -0.00186      |
|    value_loss           | 21            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.17          |
|    ep_rew_mean          | -6.92         |
| time/                   |               |
|    fps                  | 1479          |
|    iterations           | 870           |
|    time_elapsed         | 602           |
|    total_timesteps      | 890880        |
| train/                  |               |
|    approx_kl            | 0.00070693955 |
|    clip_fraction        | 0.0215        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0743       |
|    explained_variance   | 0.451         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.84          |
|    n_updates            | 34760         |
|    policy_gradient_loss | -0.00166      |
|    value_loss           | 22.7          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.85         |
|    ep_rew_mean          | -8.15        |
| time/                   |              |
|    fps                  | 1479         |
|    iterations           | 880          |
|    time_elapsed         | 608          |
|    total_timesteps      | 901120       |
| train/                  |              |
|    approx_kl            | 0.0007976025 |
|    clip_fraction        | 0.0232       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0833      |
|    explained_variance   | 0.461        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.22         |
|    n_updates            | 35160        |
|    policy_gradient_loss | -0.00219     |
|    value_loss           | 22.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.06          |
|    ep_rew_mean          | -7.1          |
| time/                   |               |
|    fps                  | 1480          |
|    iterations           | 890           |
|    time_elapsed         | 615           |
|    total_timesteps      | 911360        |
| train/                  |               |
|    approx_kl            | 0.00096140715 |
|    clip_fraction        | 0.0363        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0829       |
|    explained_variance   | 0.49          |
|    learning_rate        | 5e-05         |
|    loss                 | 4.62          |
|    n_updates            | 35560         |
|    policy_gradient_loss | -0.00233      |
|    value_loss           | 21.3          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.21         |
|    ep_rew_mean          | -6.48        |
| time/                   |              |
|    fps                  | 1480         |
|    iterations           | 900          |
|    time_elapsed         | 622          |
|    total_timesteps      | 921600       |
| train/                  |              |
|    approx_kl            | 0.0006795865 |
|    clip_fraction        | 0.0232       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0848      |
|    explained_variance   | 0.455        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.47         |
|    n_updates            | 35960        |
|    policy_gradient_loss | -0.00237     |
|    value_loss           | 22.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.18         |
|    ep_rew_mean          | -6.65        |
| time/                   |              |
|    fps                  | 1480         |
|    iterations           | 910          |
|    time_elapsed         | 629          |
|    total_timesteps      | 931840       |
| train/                  |              |
|    approx_kl            | 0.0005233538 |
|    clip_fraction        | 0.0178       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0801      |
|    explained_variance   | 0.47         |
|    learning_rate        | 5e-05        |
|    loss                 | 6.58         |
|    n_updates            | 36360        |
|    policy_gradient_loss | -0.00152     |
|    value_loss           | 23.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.86         |
|    ep_rew_mean          | -8.09        |
| time/                   |              |
|    fps                  | 1481         |
|    iterations           | 920          |
|    time_elapsed         | 636          |
|    total_timesteps      | 942080       |
| train/                  |              |
|    approx_kl            | 0.0003764977 |
|    clip_fraction        | 0.0146       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0791      |
|    explained_variance   | 0.489        |
|    learning_rate        | 5e-05        |
|    loss                 | 6.3          |
|    n_updates            | 36760        |
|    policy_gradient_loss | -0.00164     |
|    value_loss           | 25.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.85         |
|    ep_rew_mean          | -7.57        |
| time/                   |              |
|    fps                  | 1481         |
